timestamp,dpid,in_port,eth_dst,out_port,packet_count,byte_count,duration_sec
1746869201.2423594,13,31,00:00:00:00:00:59,32,0,0,4000
1746869201.2423594,13,-,-,4294967293,90195,15139562,9
1746869259.365818,13,-,-,4294967293,4548,522271,3
1746869282.4647343,13,-,-,4294967293,21926,2518118,13
1746869300.9372225,13,-,-,4294967293,40522,4674521,23
1746869311.2730634,13,-,-,4294967293,57933,6603103,33
1746869321.2109475,13,-,-,4294967293,75505,8582144,43
1746869330.9917345,13,-,-,4294967293,92761,10510871,53
1746869341.4741056,13,8,00:00:00:00:00:34,14,2,84,4
1746869341.4741056,13,8,00:00:00:00:00:57,30,0,0,2
1746869341.4741056,13,16,00:00:00:00:00:1c,9,8,672,1
1746869341.4741056,13,28,00:00:00:00:00:33,12,1,98,0
1746869341.4741056,13,-,-,4294967293,110956,12531517,63
1746869351.5466104,13,22,00:00:00:00:00:52,25,3,126,7
1746869351.5466104,13,13,00:00:00:00:00:55,28,7,574,4
1746869351.5466104,13,8,00:00:00:00:00:34,23,5,210,4
1746869351.5466104,13,5,00:00:00:00:00:39,12,10,924,2
1746869351.5466104,13,15,00:00:00:00:00:39,19,4,392,1
1746869351.5466104,13,28,00:00:00:00:00:33,23,11,1022,1
1746869351.5466104,13,8,00:00:00:00:00:57,30,10,868,1
1746869351.5466104,13,2,00:00:00:00:00:52,25,1,98,0
1746869351.5466104,13,28,00:00:00:00:00:52,25,10,812,0
1746869351.5466104,13,3,00:00:00:00:00:1b,8,0,0,0
1746869351.5466104,13,7,00:00:00:00:00:52,25,10,812,0
1746869351.5466104,13,16,00:00:00:00:00:1c,9,32,2800,0
1746869351.5466104,13,7,00:00:00:00:00:5a,33,4,168,0
1746869351.5466104,13,-,-,4294967293,128656,14540760,73
1746869362.3668826,13,13,00:00:00:00:00:55,28,9,658,15
1746869362.3668826,13,8,00:00:00:00:00:34,23,25,1834,14
1746869362.3668826,13,17,00:00:00:00:00:16,3,2,84,4
