timestamp,dpid,port_no,rx_packets,rx_bytes,rx_errors,tx_packets,tx_bytes,tx_errors
1746869201.2417252,2,1,26328,4442398,0,29422,4991447,0
1746869201.2417252,2,2,26845,4435449,0,29102,4974190,0
1746869201.2417252,2,3,26599,4468365,0,28949,4938067,0
1746869201.2417252,2,4,26067,4345083,0,29477,5007516,0
1746869201.2417252,2,4294967294,0,0,0,0,0,0
1746869260.2624903,2,1,1530,179234,0,1778,207577,0
1746869260.2624903,2,2,1570,180520,0,1767,206517,0
1746869260.2624903,2,3,1563,181666,0,1766,207593,0
1746869260.2624903,2,4,1573,181699,0,1765,206499,0
1746869260.2624903,2,4294967294,0,0,0,0,0,0
1746869286.8460493,2,1,6536,754669,0,7468,863352,0
1746869286.8460493,2,2,6651,758737,0,7421,862447,0
1746869286.8460493,2,3,6580,756368,0,7426,860802,0
1746869286.8460493,2,4,6609,757170,0,7410,860704,0
1746869286.8460493,2,4294967294,0,0,0,0,0,0
1746869299.8280709,2,1,11615,1332072,0,13262,1529854,0
1746869299.8280709,2,2,11826,1343144,0,13187,1526474,0
1746869299.8280709,2,3,11681,1339408,0,13197,1524617,0
1746869299.8280709,2,4,11794,1345307,0,13181,1525434,0
1746869299.8280709,2,4294967294,0,0,0,0,0,0
1746869309.942912,2,1,16591,1909334,0,18912,2166584,0
1746869309.942912,2,2,16895,1924873,0,18799,2163405,0
1746869309.942912,2,3,16677,1915681,0,18861,2164433,0
1746869309.942912,2,4,16861,1926195,0,18835,2164276,0
1746869309.942912,2,4294967294,0,0,0,0,0,0
1746869320.0363622,2,1,21606,2492251,0,24597,2817091,0
1746869320.0363622,2,2,21968,2507215,0,24378,2801685,0
1746869320.0363622,2,3,21720,2495392,0,24530,2812657,0
1746869320.0363622,2,4,21918,2505015,0,24501,2812098,0
1746869320.0363622,2,4294967294,0,0,0,0,0,0
1746869329.6867678,2,1,26439,3039101,0,30116,3443945,0
1746869329.6867678,2,2,27074,3078225,0,29802,3420180,0
1746869329.6867678,2,3,26616,3067937,0,30137,3450091,0
1746869329.6867678,2,4,26715,3054328,0,30064,3446963,0
1746869329.6867678,2,4294967294,0,0,0,0,0,0
1746869339.8820102,2,1,31536,3623470,0,35895,4103567,0
1746869339.8820102,2,2,32390,3670454,0,35484,4072578,0
1746869339.8820102,2,3,31646,3628493,0,35985,4118018,0
1746869339.8820102,2,4,31655,3601632,0,35796,4104765,0
1746869339.8820102,2,4294967294,0,0,0,0,0,0
1746869350.6124682,2,1,36518,4197397,0,41507,4764069,0
1746869350.6124682,2,2,37661,4262433,0,41032,4729913,0
1746869350.6124682,2,3,36555,4184969,0,41744,4790808,0
1746869350.6124682,2,4,36593,4149009,0,41484,4771121,0
1746869350.6124682,2,4294967294,0,0,0,0,0,0
1746869360.6706777,2,1,41535,4767559,0,47245,5397717,0
1746869360.6706777,2,2,42843,4835522,0,46535,5342168,0
1746869360.6706777,2,3,41485,4741396,0,47526,5431082,0
1746869360.6706777,2,4,41561,4697881,0,47251,5409875,0
1746869360.6706777,2,4294967294,0,0,0,0,0,0
1746869371.7920513,2,1,46395,5328940,0,52759,6016663,0
1746869371.7920513,2,2,47937,5404360,0,51936,5955110,0
1746869371.7920513,2,3,46354,5282697,0,53183,6071847,0
1746869371.7920513,2,4,46393,5232027,0,52852,6046515,0
1746869371.7920513,2,4294967294,0,0,0,0,0,0
1746869382.6789575,2,1,51231,5865280,0,58157,6622125,0
1746869382.6789575,2,2,53056,5959032,0,57238,6558109,0
1746869382.6789575,2,3,51156,5809715,0,58728,6704019,0
1746869382.6789575,2,4,51181,5762323,0,58385,6675430,0
1746869382.6789575,2,4294967294,0,0,0,0,0,0
1746869392.8920014,2,1,55927,6395098,0,63476,7202079,0
1746869392.8920014,2,2,58010,6498342,0,62402,7129274,0
1746869392.8920014,2,3,55783,6317819,0,64084,7293392,0
1746869392.8920014,2,4,55784,6267570,0,63685,7263042,0
1746869392.8920014,2,4294967294,0,0,0,0,0,0
1746869404.4223337,2,1,60624,6919013,0,68691,7789451,0
1746869404.4223337,2,2,62907,7030986,0,67514,7712004,0
1746869404.4223337,2,3,60364,6810281,0,69437,7900812,0
1746869404.4223337,2,4,60538,6785632,0,69019,7875830,0
1746869404.4223337,2,4294967294,0,0,0,0,0,0
1746869414.7743702,2,1,65202,7433460,0,73746,8337669,0
1746869414.7743702,2,2,67753,7553306,0,72485,8255687,0
1746869414.7743702,2,3,64818,7291757,0,74517,8454441,0
1746869414.7743702,2,4,65071,7278857,0,74109,8429170,0
1746869414.7743702,2,4294967294,0,0,0,0,0,0
1746869425.3101652,2,1,69585,7919387,0,78666,8876660,0
1746869425.3101652,2,2,72470,8063292,0,77285,8787241,0
1746869425.3101652,2,3,69267,7768410,0,79565,9010743,0
1746869425.3101652,2,4,69645,7765679,0,79205,8989097,0
1746869425.3101652,2,4294967294,0,0,0,0,0,0
1746869435.5153918,2,1,73978,8415579,0,83509,9403093,0
1746869435.5153918,2,2,77120,8568192,0,81985,9303369,0
1746869435.5153918,2,3,73685,8258096,0,84485,9552023,0
1746869435.5153918,2,4,73965,8243642,0,84087,9523725,0
1746869435.5153918,2,4294967294,0,0,0,0,0,0
1746869445.9306479,2,1,78370,8890684,0,88305,9926592,0
1746869445.9306479,2,2,81717,9051642,0,86543,9804346,0
1746869445.9306479,2,3,77989,8713103,0,89465,10098751,0
1746869445.9306479,2,4,78196,8687037,0,88991,10059666,0
1746869445.9306479,2,4294967294,0,0,0,0,0,0
1746869455.9791455,2,1,82617,9354562,0,93008,10436671,0
1746869455.9791455,2,2,86326,9542420,0,91133,10304601,0
1746869455.9791455,2,3,82224,9173783,0,94314,10628926,0
1746869455.9791455,2,4,82505,9147739,0,93788,10586470,0
1746869455.9791455,2,4294967294,0,0,0,0,0,0
1746869465.9276428,2,1,86924,9825592,0,97640,10943930,0
1746869465.9276428,2,2,90858,10024268,0,95791,10823220,0
1746869465.9276428,2,3,86445,9624722,0,99170,11160765,0
1746869465.9276428,2,4,86900,9605542,0,98579,11114748,0
1746869465.9276428,2,4294967294,0,0,0,0,0,0
1746869475.4846663,2,1,91204,10295811,0,102302,11437189,0
1746869475.4846663,2,2,95465,10513082,0,100420,11317027,0
1746869475.4846663,2,3,90622,10067962,0,104020,11677122,0
1746869475.4846663,2,4,91227,10059559,0,103418,11631989,0
1746869475.4846663,2,4294967294,0,0,0,0,0,0
1746869484.2629855,2,1,95352,10748561,0,106893,11936149,0
1746869484.2629855,2,2,99986,10985318,0,104929,11807517,0
1746869484.2629855,2,3,94779,10501492,0,108734,12188472,0
1746869484.2629855,2,4,95487,10506868,0,108140,12147924,0
1746869484.2629855,2,4294967294,0,0,0,0,0,0
1746869492.5683446,2,1,99574,11208547,0,111421,12418525,0
1746869492.5683446,2,2,104477,11460559,0,109496,12298723,0
1746869492.5683446,2,3,99008,10957187,0,113663,12713661,0
1746869492.5683446,2,4,99792,10967501,0,112891,12662901,0
1746869492.5683446,2,4294967294,0,0,0,0,0,0
1746869507.362397,2,1,104030,11685522,0,116347,12945438,0
1746869507.362397,2,2,831935,42310461,0,114234,12811782,0
1746869507.362397,2,3,103445,11420992,0,841381,43610841,0
1746869507.362397,2,4,104260,11433859,0,117925,13204276,0
1746869507.362397,2,4294967294,0,0,0,0,0,0
1746869548.177827,2,1,108869,12210562,0,1768728,174922083,0
1746869548.177827,2,2,2686970,120538609,0,119435,13371898,0
1746869548.177827,2,3,108276,11923886,0,2696725,121895290,0
1746869548.177827,2,4,1756352,173366241,0,123269,13773855,0
1746869548.177827,2,4294967294,0,0,0,0,0,0
1746869575.5826125,2,1,113733,12726133,0,3365007,331403102,0
1746869575.5826125,2,2,4358846,191055032,0,124646,13932285,0
1746869575.5826125,2,3,113083,12421069,0,4369052,192485175,0
1746869575.5826125,2,4,3352134,329780253,0,128574,14339361,0
1746869575.5826125,2,4294967294,0,0,0,0,0,0
1746869595.1256855,2,1,118606,13240647,0,4648263,457200025,0
1746869595.1256855,2,2,5026814,219409608,0,517950,40581077,0
1746869595.1256855,2,3,506172,39028952,0,5037509,220908692,0
1746869595.1256855,2,4,4634959,455512450,0,133916,14903431,0
1746869595.1256855,2,4294967294,0,0,0,0,0,0
1746869606.4804115,2,1,121675,13562409,0,5423343,533180536,0
1746869606.4804115,2,2,5339869,232742194,0,1006502,76637232,0
1746869606.4804115,2,3,972139,74103629,0,5351027,234305636,0
1746869606.4804115,2,4,5432101,532384030,0,137350,15266734,0
1746869606.4804115,2,4294967294,0,0,0,0,0,0
1746869606.4925148,2,1,123753,13784001,0,5546876,545307141,0
1746869606.4925148,2,2,5533515,241015199,0,1229256,87329308,0
1746869606.4925148,2,3,1012172,77083493,0,5545048,242631265,0
1746869606.4925148,2,4,5735767,551930946,0,140099,15554480,0
1746869606.4925148,2,4294967294,0,0,0,0,0,0
1746869615.1397064,2,1,126036,14027407,0,5908499,580772942,0
1746869615.1397064,2,2,5672594,247055480,0,1735816,124254242,0
1746869615.1397064,2,3,1426596,110104715,0,5684529,248730028,0
1746869615.1397064,2,4,6188083,591135170,0,143816,15951863,0
1746869615.1397064,2,4294967294,0,0,0,0,0,0
1746869880.1939416,2,1,2307,264427,0,2648,285709,0
1746869880.1939416,2,2,2342,266727,0,2634,284582,0
1746869880.1939416,2,3,2403,268580,0,2612,282115,0
1746869880.1939416,2,4,2394,271819,0,2627,283742,0
1746869880.1939416,2,4294967294,0,0,0,0,0,0
1746869907.6139827,2,1,7330,802008,0,8376,940202,0
1746869907.6139827,2,2,7403,807508,0,8343,938143,0
1746869907.6139827,2,3,7537,808101,0,8268,933181,0
1746869907.6139827,2,4,7520,812191,0,8277,932002,0
1746869907.6139827,2,4294967294,0,0,0,0,0,0
1746869916.9469042,2,1,12332,1378937,0,14057,1529396,0
1746869916.9469042,2,2,12405,1384854,0,14012,1525781,0
1746869916.9469042,2,3,12881,1406240,0,13940,1521796,0
1746869916.9469042,2,4,12633,1397990,0,13941,1522164,0
1746869916.9469042,2,4294967294,0,0,0,0,0,0
1746869925.832352,2,1,17091,1917673,0,19493,2094589,0
1746869925.832352,2,2,17204,1927279,0,19419,2089945,0
1746869925.832352,2,3,17790,1963703,0,19326,2087701,0
1746869925.832352,2,4,17571,1951787,0,19314,2083667,0
1746869925.832352,2,4294967294,0,0,0,0,0,0
1746869936.325705,2,1,22099,2436833,0,25213,2751435,0
1746869936.325705,2,2,22238,2447045,0,25171,2746911,0
1746869936.325705,2,3,22852,2485496,0,24897,2733716,0
1746869936.325705,2,4,22689,2479609,0,24984,2731797,0
1746869936.325705,2,4294967294,0,0,0,0,0,0
1746869947.457072,2,1,27165,2951244,0,31139,3423986,0
1746869947.457072,2,2,27369,2958189,0,31001,3410067,0
1746869947.457072,2,3,27924,2994776,0,30524,3376478,0
1746869947.457072,2,4,27882,3000395,0,30638,3377152,0
1746869947.457072,2,4294967294,0,0,0,0,0,0
1746869957.9290066,2,1,32163,3470809,0,36901,4025625,0
1746869957.9290066,2,2,32497,3496471,0,36824,4020033,0
1746869957.9290066,2,3,33040,3525109,0,36156,3965504,0
1746869957.9290066,2,4,33077,3555417,0,36273,3966014,0
1746869957.9290066,2,4294967294,0,0,0,0,0,0
1746869967.6797466,2,1,37120,4045926,0,42724,4618212,0
1746869967.6797466,2,2,37610,4082360,0,42524,4600327,0
1746869967.6797466,2,3,38507,4121493,0,41854,4542801,0
1746869967.6797466,2,4,38368,4151374,0,41949,4542361,0
